year;month;air-transport-europe;air-transport-intercont;air-transport-total;europe;intercontinental;passengers-total;o&d;transfer;passengers-total;scheduled;nonscheduled;transit-direct;passengers-total;cargo-tons;cargo-mail-tons
2019;april;34186;7706;41892;4314805;1789205;6104010;4025536;2078474;6104010;6072405;31605;2486;6106496;126742,6255;1747,362
2019;may;36811;7896;44707;4651471;1790002;6441473;4237293;2204180;6441473;6367146;74327;0;6441473;133647,6921;1859,887
2019;june;35564;7779;43343;4652003;1850585;6502588;4159562;2343026;6502588;6428527;74061;0;6502588;123888,07;1735,721
2019;july;36530;8206;44736;4758165;1965858;6724023;4427091;2296932;6724023;6632971;91052;0;6724023;129143,008;1875,628
2019;august;36867;8255;45122;4804762;2005997;6810759;4495169;2315590;6810759;6704454;106305;0;6810759;130581,21;1774,032
2019;september;36193;7938;44131;4649227;1844241;6493468;4153928;2339540;6493468;6418556;74912;13;6493481;136819,3436;1746,516
2019;october;36508;7995;44503;4600170;1831273;6431443;4161063;2270380;6431443;6388599;42844;0;6431443;143594;1974
2019;november;30599;7203;37802;3713816;1609774;5323590;3353744;1969846;5323590;5314376;9214;0;5323590;136256,124;2133,043
2019;december;30995;7430;38425;3694378;1691825;5386203;3259261;2126942;5386203;5375663;10540;172;5386375;126376,06;2338,263
2020;january;30336;7231;37567;3448900;1625873;5074773;3011207;2063566;5074773;5061346;13427;0;5074773;113080,149;1908,092
2020;february;28414;6565;34979;3329009;1387630;4716639;3008589;1708050;4716639;4697932;18707;187;4716826;116217,44;1490,626
2020;march;19850;5305;25155;1641935;834437;2476372;1498230;978142;2476372;2463712;12660;140;2476512;120480,865;1166,937
2020;april;2046;2196;4242;67684;58331;126015;64573;61442;126015;123257;2758;862;126877;93254,889;381,5173
2020;may;2805;3073;5878;131546;76281;207827;103491;104336;207827;203362;4465;459;208286;104744,96;541,875
2020;june;4659;3459;8118;338245;133165;471410;250652;220758;471410;464080;7330;442;471852;108163,933;855,242
2020;july;11632;4072;15704;1114398;224459;1338857;922219;416638;1338857;1321086;17771;265;1339122;119634,099;1083,386
2020;august;18864;4261;23125;1608511;246275;1854786;1192978;661808;1854786;1836617;18169;0;1854786;119974,717;1282,856
2020;september;17854;4308;22162;1102721;235020;1337741;716593;621148;1337741;1325406;12335;0;1337741;124490,681;1251,099
2020;october;14877;4737;19614;874489;268994;1143483;534283;609200;1143483;1136534;6949;92;1143575;140139,763;1521,301
2020;november;10066;4792;14858;629150;271284;900434;339034;561400;900434;897247;3187;19;900453;145473,814;1511,147
2020;december;10953;4949;15902;836153;396974;1233127;455101;778026;1233127;1228988;4139;114;1233241;135866;1837
2021;january;9809;4857;14666;553464;315665;869129;316521;552608;869129;866424;2705;181;869310;133222,0486;1402,649
2021;february;6500;4155;10655;327645;177563;505208;213404;291804;505208;503378;1830;0;505208;125136,673;1109,374
2021;march;7582;4638;12220;430955;229221;660176;264056;396120;660176;658056;2120;196;660372;153206,158;1379,08
2021;april;9191;4531;13722;536128;250524;786652;327124;459528;786652;785753;899;4;786656;141132,349;1257,569
2021;may;10870;4709;15579;804575;302165;1106740;485634;621106;1106740;1104764;1976;0;1106740;147017,26;1222,706
2021;june;14381;4814;19195;1231479;446786;1678265;822699;855566;1678265;1666353;11912;145;1678410;137955,811;1128,198
2021;july;23400;5741;29141;2303289;726662;3029951;1776151;1253800;3029951;3000911;29040;121;3030072;130664,278;977,544
2021;august;26079;5768;31847;2939403;847570;3786973;2375827;1411146;3786973;3740772;46201;242;3787215;130844,267;1049,221
2021;september;24485;5534;30019;2677291;692914;3370205;2043483;1326722;3370205;3331417;38788;231;3370436;133244,78;1002,487
2021;october;25571;5755;31326;2978808;767183;3745991;2389357;1356634;3745991;3726306;19685;161;3746152;149382,6755;1040,34
2021;november;22909;5463;28372;2273366;822457;3095823;1822765;1273058;3095823;3090229;5594;403;3096226;143830,52;942,653
2021;december;24523;5702;30225;1924693;931018;2855711;1525203;1330508;2855711;2844850;10861;125;2855836;141667,032;1037,904
2022;january;20787;5446;26233;1664713;823370;2488083;1312239;1175844;2488083;2473167;14916;127;2488210;122553,0239;827,457
2022;february;19151;4978;24129;1905321;755355;2660676;1514604;1146072;2660676;2643936;16740;241;2660917;118273,7597;823,673
2022;march;24612;5770;30382;2706725;1025323;3732048;2230310;1501738;3732048;3715449;16599;0;3732048;128198,1545;818,525
2022;april;27473;5948;33421;3252399;1182188;4434587;2928701;1505886;4434587;4384090;50497;0;4434587;116895,4277;688,3112
2022;may;31902;6518;38420;3891004;1326031;5217035;3515613;1701422;5217035;5095936;121099;614;5217649;119551,498;685,4803
2022;june;30316;6605;36921;3807896;1424734;5232630;3345574;1887056;5232630;5109036;123594;326;5232956;116273,657;667,106
2022;july;28995;7005;36000;3615230;1564495;5179725;3293505;1886220;5179725;5068651;111074;0;5179725;120131,364;583,582
2022;august;30631;7099;37730;3743746;1583615;5327361;3462999;1864362;5327361;5207234;120127;0;5327361;116876,182;549,168
2022;september;30244;6783;37027;3705504;1491427;5196931;3312769;1884162;5196931;5103260;93671;0;5196931;121507,881;538,024
2022;october;29455;6910;36365;3443474;1468947;4912421;3170202;1742219;4912421;4833662;78759;0;4912421;125358;465
2022;november;23943;6406;30349;2693189;1294216;3987405;2568293;1419112;3987405;3964995;22410;0;3987405;119074,338;460,954
2022;december;24170;6499;30669;2709722;1392256;4101978;2562744;1539234;4101978;4084140;17838;0;4101978;113118,48;607,514
2023;january;23581;6406;29987;2557198;1339190;3896388;2383977;1512410;3896388;3869189;27199;12;3896400;103980,856;477,804
2023;february;22416;5929;28345;2569111;1213117;3782228;2318960;1463268;3782228;3754680;27548;0;3782228;109034,553;439,807
2023;march;26326;6802;33128;3129905;1455196;4585101;2810054;1775046;4585101;4564219;20882;0;4585101;121745,94;457,111
2023;april;29264;6994;36258;3586955;1541600;5128555;3364777;1763778;5128555;5084847;43708;0;5128555;113459;430
2023;may;32236;7332;39568;4006221;1593649;5599870;3729972;1869898;5599870;5504883;94987;0;5599870;117999;471
2023;june;31697;7215;38912;4013259;1650861;5664120;3599940;2064180;5664120;5575435;88685;773;5664893;112994;447
2023;july;33319;7646;40965;4244511;1764804;6009315;3903513;2105802;6009315;5890874;118441;143;6009458;113536;407
2023;august;33982;7602;41584;4278189;1774695;6052884;3946220;2106664;6052884;5919728;133156;757;6053641;110126;454
2023;september;33352;7273;40625;4138808;1638400;5777208;3670404;2106804;5777208;5673349;103859;159;5777367;117325;472
2023;october;34131;7422;41553;4177245;1642816;5820061;3775023;2045038;5820061;5734623;85438;114;5820175;121994;476
2023;november;28627;6718;35345;3321264;1421134;4742398;2949441;1792957;4742398;4714253;28145;0;4742398;115817,077;595,215
2023;december;28637;7062;35699;3316852;1512648;4829500;2979492;1850008;4829500;4791927;37573;0;4829500;120029,097;771,219
2024;january;27922;7128;35050;3060179;1483700;4543879;2687578;1856301;4543879;4496870;47009;0;4543879;118253;553
2024;february;28327;6776;35103;3230533;1396406;4626939;2790207;1836732;4626939;4577214;49725;0;4626939;121853,076;537,889
2024;march;30958;7265;38223;3662128;1563550;5225678;3128569;2097109;5225678;5181304;44374;451;5226129;136492,1;542,272
2024;april;32100;7041;39141;3913794;1556638;5470432;3628115;1842317;5470432;5422574;47858;0;5470432;117657,425;518,569
2024;may;34602;7441;42043;4350862;1624832;5975694;4021692;1954002;5975694;5878846;96848;0;5975694;122510,067;541,413
2024;june;33555;7302;40857;4320383;1637664;5958047;3840494;2117553;5958047;5866230;91817;267;5958314;121647,791;531,772
2024;july;34669;7783;42452;4535569;1765232;6300801;4228377;2072424;6300801;6184983;115818;257;6301058;128192;517,484
2024;august;35277;7841;43118;4618422;1798617;6417039;4241081;2175958;6417039;6288980;128059;500;6417539;126833,417;510,239
2024;september;33180;8598;41778;4170524;1860289;6030813;3866755;2164058;6030813;5933826;96987;622;6031435;129351,3;538,109
2024;october;34487;7518;42005;4371263;1667703;6038966;3861750;2177216;6038966;5952163;86803;697;6039663;130295;642
2024;november;29574;7014;36588;3572442;1498744;5071186;3158195;1912991;5071186;5029161;42025;0;5071186;120292,621;694,522
2024;december;30203;7246;37449;3578117;1586740;5164857;3100998;2064165;5165163;5119647;45516;0;5165163;118159,818;875,772
2025;january;28462;7252;35714;3240908;1712920;4953828;2800290;2003716;4804006;4753545;50461;54;4804060;104355,079;620,385
2025;february;27705;6634;34339;3288773;1541314;4830087;2816505;1876761;4693266;4644209;49057;0;4693266;108878,894;573,959
2025;march;31491;7378;38869;3772351;1688269;5460620;3277208;2047342;5324550;5276871;47679;0;5324550;131644,801;671,242
